QID,A1,A2,A3,A4,A5,A6,A7,A8,A16,A17,A18
290,28,vocational,central,1,1,10000,yes i know,yes,willing if have money,willing if have money,willing if have money
13,25,lowersec,northeast,15,12,15000,yes i know,yes,willing if have money,willing if have money,willing
104,30,primary,northeast,72,17,5000,yes i know,yes,willing,willing,willing
284,32,primary,northern,4,4,10000,yes i know,no,willing,willing,willing
265,32,uppersec,northern,8,8,10000,yes i know,yes,willing,willing,willing
90,29,primary,northeast,60,22,6000,no,,not willing,not willing,willing
276,26,uppersec,northeast,2,2,30000,yes i know,yes,willing,not willing,not willing
210,22,lowersec,northeast,2,2,1000,no,,willing if have money,willing if have money,willing if have money
55,19,uppersec,southern,7,6,5000,no,,willing,willing,willing
54,32,lowersec,southern,24,6,5000,no,,willing if have money,willing if have money,willing
220,35,lowersec,southern,106,888,8000,yes i know,yes,willing,willing,willing
30,32,primary,not answer,16,16,5000,yes i know,yes,willing if have money,willing if have money,willing if have money
253,28,lowersec,northeast,1,1,2000,no,,willing,willing,willing
217,39,uppersec,northern,3,3,3000,yes i know,yes,willing,willing if have money,willing
264,32,uppersec,northern,12,12,10000,yes i know,yes,willing,not sure,willing
292,31,primary,northeast,1,1,88888,no,,willing,willing if have money,willing
315,34,lowersec,northern,36,24,10000,yes i know,yes,willing,willing if have money,willing
213,39,uppersec,northern,120,36,30000,yes i know,yes,willing,willing if have money,willing
299,30,uppersec,central,36,0,15000,yes i know,yes,willing if have money,willing if have money,willing
243,33,primary,northeast,1,1,99999,no,,willing,willing,willing
233,34,lowersec,northern,25,18,3000,yes i know,yes,willing,willing,willing
318,28,uppersec,northern,2,888,50000,yes i know,yes,willing,willing,willing
72,25,uppersec,southern,51,6,5000,no,,not answer,not answer,willing
312,24,uppersec,central,96,10,4000,yes i know,no,willing,willing if have money,willing
119,22,not answer,northeast,72,36,99999,yes i know,no,willing,willing,willing
18,40,lowersec,northeast,12,12,88888,yes i know,yes,willing,willing if have money,willing
205,28,primary,northeast,12,12,0,yes i know,yes,willing if have money,not sure,not sure
48,23,vocational,northeast,3,3,10000,yes i know,no,willing if have money,willing if have money,willing
175,25,lowersec,northeast,24,24,88888,yes i know,yes,willing,willing if have money,willing
234,28,primary,northeast,15,15,10000,yes but no one told,yes,willing if have money,willing if have money,willing if have money
87,26,uppersec,southern,60,60,5000,yes i know,yes,willing,willing if have money,willing
298,22,primary,southern,26,26,10000,yes i know,no,willing,willing,willing
1,21,lowersec,northeast,9,9,15000,yes i know,no,willing if have money,willing if have money,willing if have money
306,22,primary,northeast,53,53,99999,yes i know,yes,willing,willing,willing
232,24,lowersec,northern,6,6,4000,no,,willing,willing,willing
164,24,primary,northeast,67,60,6000,no,,willing,willing,willing
266,23,lowersec,northern,22,22,15000,yes i know,yes,willing,willing,willing
129,28,primary,northeast,1,1,88888,no,,not sure,not sure,not sure
194,33,vocational,central,1,1,88888,no,,willing,willing if have money,willing if have money
65,20,lowersec,northeast,108,1,7000,no,,willing if have money,not sure,willing
150,24,vocational,southern,70,12,5000,yes i know,no,willing if have money,willing if have money,willing if have money
22,26,lowersec,central,1,1,3000,no,,willing if have money,willing if have money,willing if have money
2,30,primary,southern,60,48,6000,yes i know,yes,willing if have money,willing if have money,willing
117,26,vocational,northeast,36,36,5000,yes but no one told,no,willing if have money,willing if have money,willing if have money
231,20,lowersec,northern,1,1,5000,no,,willing,not sure,willing
16,19,lowersec,southern,3,12,5000,yes i know,yes,willing,willing,willing
145,31,bachelor,southern,60,25,5000,yes i know,no,willing,willing,willing
249,29,primary,northeast,4,4,2000,no,,willing,not willing,not sure
14,32,primary,northeast,3,3,6000,yes i know,yes,willing,willing,willing
148,26,vocational,northern,13,13,7200,no,,willing if have money,willing if have money,willing if have money
277,23,vocational,northeast,2,2,35000,yes i know,yes,willing,willing,willing
38,28,lowersec,northeast,3,3,5000,yes i know,yes,willing,willing,willing
153,25,lowersec,northeast,2,2,5000,yes i know,yes,willing,willing,willing
242,36,lowersec,northeast,12,12,99999,yes i know,yes,willing,willing,willing
225,31,lowersec,central,5,5,3000,yes i know,yes,willing,willing if have money,willing
10,20,lowersec,southern,18,18,6000,yes i know,yes,willing,willing,willing
172,32,lowersec,northeast,9,9,10000,yes i know,yes,willing,willing if have money,willing
102,28,lowersec,southern,6,6,6000,yes i know,yes,willing,willing,willing
218,32,lowersec,northern,12,12,20000,yes i know,yes,willing,willing,willing
79,21,uppersec,southern,36,36,7000,yes i know,no,willing,willing,willing
282,27,uppersec,northern,1,9,5000,yes i know,yes,willing,willing if have money,willing
281,32,lowersec,northeast,1,1,3000,no,no,willing,willing,willing
7,36,lowersec,northeast,120,36,5000,yes i know,yes,willing,willing,willing
5,27,primary,central,36,36,10000,yes i know,yes,willing if have money,willing if have money,willing if have money
285,20,lowersec,northeast,1,1,5000,no,,willing,willing,willing
92,26,vocational,northeast,24,12,30000,yes i know,yes,willing,willing,willing
73,21,lowersec,northeast,4,4,7000,no,,willing,not sure,willing
230,20,primary,northern,3,3,20000,no,,willing if have money,willing if have money,willing
173,23,primary,northern,2,2,8000,yes i know,no,willing,willing,willing
167,24,lowersec,northeast,5,5,5000,no,,willing if have money,willing if have money,willing
214,27,vocational,northern,1,1,3000,yes i know,yes,willing if have money,willing if have money,willing
95,27,primary,central,24,24,30000,yes i know,yes,willing,willing,willing
41,23,uppersec,northern,87,20,5000,no,,willing,willing,willing
115,18,primary,southern,14,14,10000,yes i know,yes,willing if have money,willing if have money,willing
75,24,vocational,southern,31,6,7000,no,,willing if have money,willing if have money,willing
86,22,lowersec,southern,72,50,5000,yes i know,no,willing if have money,willing if have money,willing
269,24,vocational,northern,10,10,10000,yes i know,yes,willing if have money,willing if have money,willing
121,23,uppersec,central,12,12,5000,no,,willing,willing,willing
107,34,lowersec,northeast,3,3,4000,no,,willing,not sure,willing
283,31,primary,northern,0,0,99999,yes i know,yes,not sure,not sure,not sure
127,43,primary,northeast,72,72,5000,yes i know,yes,willing,willing,willing
4,42,primary,central,62,73,4000,yes i know,yes,willing,willing,willing
25,28,vocational,northeast,2,2,7000,yes i know,no,willing,willing,willing
40,38,primary,northeast,12,12,4000,yes i know,yes,willing,willing,willing
209,40,vocational,northeast,0,0,20000,no,,willing,willing,willing
181,37,primary,northeast,12,12,5000,yes i know,yes,willing,willing if have money,willing
227,20,uppersec,northeast,1,1,99999,no,,not sure,not willing,willing
35,45,primary,northeast,8,8,2800,no,,willing,willing,willing
303,27,uppersec,central,40,40,6000,yes i know,no,willing,willing,willing
23,35,primary,northeast,4,4,7000,yes i know,yes,willing,willing if have money,willing
268,28,lowersec,central,6,12,30000,yes i know,yes,willing,willing if have money,willing
149,24,bachelor,northern,14,4,8000,yes i know,yes,willing if have money,willing if have money,willing
76,26,lowersec,southern,24,7,5000,no,,willing if have money,not sure,willing
188,24,lowersec,northeast,46,46,7000,no,,willing,willing if have money,willing
80,24,primary,central,12,12,6000,no,,willing,willing,willing
58,29,lowersec,central,108,132,20000,yes i know,yes,willing if have money,willing if have money,willing
229,25,primary,northeast,9,9,1000,no,,willing,willing if have money,willing
133,31,lowersec,northeast,4,4,20000,no,,willing if have money,willing if have money,not willing
52,27,uppersec,central,4,4,15000,yes i know,yes,willing if have money,willing if have money,not willing
244,38,lowersec,northeast,1,1,5000,yes i know,yes,willing,willing,willing
112,30,primary,northeast,1,888,1000,yes i know,yes,willing,willing,willing
261,24,lowersec,northern,12,31,30000,yes i know,no,willing,willing,willing
143,31,lowersec,northeast,11,11,88888,yes i know,yes,willing if have money,willing if have money,willing
193,29,primary,not relevant,9,9,6000,no,,willing if have money,willing if have money,willing
314,29,uppersec,central,50,50,20000,yes i know,yes,willing,willing,willing
301,24,lowersec,northeast,36,36,6000,yes i know,yes,willing,willing,willing
198,24,vocational,central,0,0,7000,no,,willing if have money,willing if have money,willing
122,29,vocational,southern,28,28,7000,no,,willing,willing,willing
235,33,primary,central,61,30,30000,yes i know,yes,willing if have money,willing,willing
131,26,uppersec,southern,4,4,5000,no,,willing if have money,willing if have money,willing if have money
184,23,lowersec,northeast,11,999,6000,no,,willing,willing,willing
251,37,primary,northeast,1,1,99999,yes i know,yes,willing if have money,willing if have money,willing
100,26,primary,central,29,29,5000,yes i know,no,willing,willing,willing
61,23,lowersec,northeast,9,9,10000,no,,willing if have money,willing if have money,willing
158,28,bachelor,northeast,5,5,88888,yes i know,no,not sure,not sure,not sure
32,24,uppersec,southern,22,22,20000,yes i know,yes,willing,willing,willing
177,40,primary,northeast,6,6,99999,yes i know,yes,willing if have money,willing if have money,willing if have money
15,21,lowersec,northern,2,2,3000,yes i know,yes,willing if have money,not sure,willing
228,27,primary,northeast,6,6,6000,no,,not answer,willing if have money,not sure
245,29,lowersec,central,47,72,7000,yes i know,yes,willing,willing,willing
147,27,uppersec,southern,72,72,6700,yes i know,yes,willing,willing,willing
211,34,uppersec,central,30,30,10000,yes i know,yes,willing,willing,willing
9,35,primary,northeast,12,6,5000,no,,willing if have money,willing if have money,willing
157,30,primary,northeast,1,1,99999,yes i know,no,willing,willing,willing
70,18,lowersec,southern,1,1,6000,no,,willing if have money,willing if have money,willing
206,30,lowersec,not answer,0,0,99999,yes i know,yes,willing,willing,willing
311,24,lowersec,northern,3,3,88888,yes i know,yes,willing if have money,willing if have money,willing
239,23,lowersec,northeast,1,1,10000,yes i know,no,willing,willing,willing
191,25,bachelor,northeast,1,1,30000,no,,willing,willing if have money,willing
289,25,primary,northeast,106,106,6000,yes i know,yes,willing if have money,willing if have money,willing
199,22,uppersec,northeast,2,2,10000,no,,willing if have money,willing if have money,willing
166,29,uppersec,central,24,24,6000,yes i know,yes,willing if have money,willing if have money,not sure
279,21,vocational,northeast,7,7,50000,yes i know,no,willing,willing,not willing
39,40,primary,central,19,2,5000,yes i know,yes,willing,willing,willing
108,22,vocational,northeast,1,1,7000,no,,willing,not sure,willing
300,28,uppersec,northeast,7,7,10000,yes i know,no,willing,not sure,willing
118,43,primary,northeast,3,3,5000,yes i know,no,willing,willing,willing
132,21,uppersec,southern,60,10,5000,yes i know,no,willing,willing,willing
71,23,lowersec,southern,2,0,6000,no,,willing if have money,not sure,willing
187,99,primary,not answer,48,48,7000,yes i know,yes,willing,willing if have money,willing
240,25,primary,northeast,5,5,5000,yes i know,yes,willing,willing,willing
278,24,uppersec,central,1,1,40000,yes i know,no,willing,willing,willing
91,39,lowersec,northeast,1,1,88888,no,,willing if have money,not sure,willing
89,19,lowersec,southern,13,3,5000,yes i know,no,willing,willing if have money,willing
128,29,uppersec,northeast,92,92,6000,yes i know,yes,not sure,not sure,not sure
6,26,vocational,central,1,1,6000,yes i know,yes,willing if have money,willing if have money,willing if have money
34,31,primary,central,18,18,4500,yes i know,yes,willing,willing,willing
56,41,lowersec,northeast,1,0,99999,yes i know,no,willing,willing,willing
125,25,uppersec,southern,72,72,7200,no,,willing if have money,willing if have money,willing
135,24,uppersec,northeast,11,10,20000,no,,willing,willing,willing
294,26,primary,northeast,24,24,5000,yes i know,yes,willing,willing,willing
43,30,primary,northeast,1,1,15000,yes i know,yes,willing if have money,not sure,willing
106,53,primary,northeast,72,72,4000,no,,willing,willing if have money,willing
19,32,primary,central,14,14,30000,yes i know,no,willing,not willing,willing
126,36,primary,northeast,84,84,6200,no,,willing if have money,willing if have money,willing
207,25,primary,northeast,96,2,5000,yes i know,yes,willing,willing,willing
53,23,primary,southern,60,6,6000,no,,willing,not sure,willing
178,40,primary,northeast,4,4,10000,yes i know,no,willing,willing,willing
45,28,lowersec,northeast,4,4,15000,yes i know,yes,willing,willing,willing
252,28,primary,northeast,8,8,1000,no,,willing if have money,not sure,willing
28,31,primary,central,11,11,5000,yes i know,yes,willing,not willing,willing
62,24,uppersec,northeast,7,7,15000,yes i know,yes,not sure,not sure,not sure
305,27,primary,northeast,24,24,4000,yes i know,yes,willing if have money,not sure,willing
93,27,uppersec,central,24,24,10000,yes i know,yes,willing,willing,willing
94,25,lowersec,northern,0,0,3000,yes i know,yes,willing if have money,willing if have money,willing
260,29,primary,northern,12,2,5000,no,,willing,willing,willing
88,32,bachelor,northern,8,8,4000,yes i know,no,not willing,not willing,not willing
255,49,primary,northeast,3,3,1200,no,,willing,not sure,willing
49,40,vocational,northern,3,3,10000,yes i know,yes,willing if have money,willing if have money,willing
159,33,primary,northeast,1,12,5000,yes i know,no,willing,willing if have money,willing
296,20,lowersec,northeast,1,1,3000,no,,not sure,not sure,not sure
222,27,bachelor,northern,1,1,4000,yes i know,yes,willing,willing,willing
83,24,not answer,central,72,60,5200,no,,not sure,not sure,not sure
146,20,uppersec,northeast,22,4,5000,yes i know,yes,willing,willing if have money,willing
124,24,lowersec,central,48,48,6700,not answer,not answer,willing,willing if have money,willing
317,38,primary,northeast,4,4,15000,no,,willing,willing if have money,willing
99,30,lowersec,central,4,4,5000,yes i know,no,willing,willing,willing
286,20,lowersec,northeast,4,4,20000,yes i know,yes,willing,not sure,willing
77,22,lowersec,southern,29,7,6000,no,,willing,not willing,willing
248,26,lowersec,northeast,0,60,80000,yes i know,yes,willing,willing,willing
182,28,uppersec,northeast,4,4,15000,yes i know,no,willing,not sure,willing
137,38,primary,northeast,24,24,5000,yes i know,no,willing,willing,willing
29,21,uppersec,northeast,5,5,5000,no,,willing if have money,not sure,willing
280,23,lowersec,northeast,999,999,50000,yes i know,yes,willing,willing,willing
161,30,lowersec,central,12,12,5000,yes i know,yes,not sure,not sure,willing
24,28,vocational,central,2,2,6000,yes i know,no,willing,willing,willing
254,30,primary,northeast,0,0,99999,no,,willing if have money,willing if have money,willing
68,24,vocational,southern,48,24,4000,no,,willing,willing,willing
12,34,primary,central,122,12,5000,yes i know,no,willing,willing,willing
174,23,none,northeast,7,7,20000,yes i know,yes,willing if have money,willing if have money,willing
46,46,primary,southern,240,0,7000,yes i know,yes,willing,willing,willing
310,32,primary,northeast,12,12,5000,yes i know,yes,willing,not willing,willing
309,51,primary,northeast,24,999,5000,no,,willing,willing,willing
81,23,lowersec,central,5,3,3000,yes i know,no,willing,willing,willing
201,35,primary,not answer,24,24,15000,yes i know,no,willing,willing,willing
97,30,lowersec,northern,0,0,8000,yes i know,yes,willing,not willing,willing
202,18,lowersec,northeast,1,1,3000,no,,not sure,not sure,not sure
155,22,uppersec,southern,48,48,6000,yes i know,yes,willing,willing,willing if have money
262,24,lowersec,northern,41,36,20000,yes i know,yes,willing,willing,willing
256,36,uppersec,central,6,6,10000,no,,willing,not sure,willing
